phase,model,seed,variant,budget,split,N,task_groups,TP,FP,TN,FN,abstain,abstain_unsafe,abstain_safe,coverage,F1_covered,macro_F1_covered,unsafe_recall_covered,FPR_covered,correct_decisions/N_total,TP/N_unsafe_total,FPR_all_safe,safety_block_if_abstain_pauses,normal_task_pause_cost,PR_AUC_AP,latency_p50_ms,latency_p95_ms
baseline,R1,42,fixed05,,dev,158,7,17,0,99,15,27,14,13,0.8291139240506329,0.6938775510204082,0.8117275079045703,0.53125,0.0,0.7341772151898734,0.3695652173913043,0.0,0.6739130434782609,0.11607142857142858,0.9880976228632479,0.4833717830479145,0.5809934809803963
baseline,R1,42,fixed05,,test,141,7,30,0,84,4,23,17,6,0.8368794326241135,0.9375,0.9571220930232558,0.8823529411764706,0.0,0.8085106382978723,0.5882352941176471,0.0,0.9215686274509803,0.06666666666666667,0.9827765252442441,0.46558305621147156,0.5615651607513428
baseline,R1,42,fixed05,,train,657,32,112,2,428,11,104,84,20,0.8417047184170472,0.9451476793248945,0.9650939777522056,0.9105691056910569,0.004651162790697674,0.821917808219178,0.5410628019323671,0.0044444444444444444,0.9468599033816425,0.044444444444444446,0.9946599779262514,0.4690466448664665,0.5741180852055549
baseline,R1,43,dev_threshold,,dev,158,7,30,5,94,2,27,14,13,0.8291139240506329,0.8955223880597015,0.9298124760811328,0.9375,0.050505050505050504,0.7848101265822784,0.6521739130434783,0.044642857142857144,0.9565217391304348,0.11607142857142858,0.9880976228632479,0.4848996177315712,0.5705163348466158
baseline,R1,43,dev_threshold,,test,141,7,34,10,74,0,23,17,6,0.8368794326241135,0.8717948717948718,0.9042518662771828,1.0,0.11904761904761904,0.7659574468085106,0.6666666666666666,0.1111111111111111,1.0,0.06666666666666667,0.9827765252442441,0.46460796147584915,0.5647512152791023
baseline,R1,43,dev_threshold,,train,657,32,123,16,414,0,104,84,20,0.8417047184170472,0.9389312977099237,0.9599869758691799,1.0,0.037209302325581395,0.817351598173516,0.5942028985507246,0.035555555555555556,1.0,0.044444444444444446,0.9946599779262514,0.47420430928468704,0.5930259823799133
baseline,R1,43,fixed05,,dev,158,7,17,0,99,15,27,14,13,0.8291139240506329,0.6938775510204082,0.8117275079045703,0.53125,0.0,0.7341772151898734,0.3695652173913043,0.0,0.6739130434782609,0.11607142857142858,0.9880976228632479,0.4848996177315712,0.5705163348466158
baseline,R1,43,fixed05,,test,141,7,30,0,84,4,23,17,6,0.8368794326241135,0.9375,0.9571220930232558,0.8823529411764706,0.0,0.8085106382978723,0.5882352941176471,0.0,0.9215686274509803,0.06666666666666667,0.9827765252442441,0.46460796147584915,0.5647512152791023
baseline,R1,43,fixed05,,train,657,32,112,2,428,11,104,84,20,0.8417047184170472,0.9451476793248945,0.9650939777522056,0.9105691056910569,0.004651162790697674,0.821917808219178,0.5410628019323671,0.0044444444444444444,0.9468599033816425,0.044444444444444446,0.9946599779262514,0.47420430928468704,0.5930259823799133
baseline,R1,44,dev_threshold,,dev,158,7,30,5,94,2,27,14,13,0.8291139240506329,0.8955223880597015,0.9298124760811328,0.9375,0.050505050505050504,0.7848101265822784,0.6521739130434783,0.044642857142857144,0.9565217391304348,0.11607142857142858,0.9880976228632479,0.48552360385656357,0.5886940285563469
baseline,R1,44,dev_threshold,,test,141,7,34,10,74,0,23,17,6,0.8368794326241135,0.8717948717948718,0.9042518662771828,1.0,0.11904761904761904,0.7659574468085106,0.6666666666666666,0.1111111111111111,1.0,0.06666666666666667,0.9827765252442441,0.46528223901987076,0.57215616106987
baseline,R1,44,dev_threshold,,train,657,32,123,16,414,0,104,84,20,0.8417047184170472,0.9389312977099237,0.9599869758691799,1.0,0.037209302325581395,0.817351598173516,0.5942028985507246,0.035555555555555556,1.0,0.044444444444444446,0.9946599779262514,0.4749605432152748,0.5825178697705269
baseline,R1,44,fixed05,,dev,158,7,17,0,99,15,27,14,13,0.8291139240506329,0.6938775510204082,0.8117275079045703,0.53125,0.0,0.7341772151898734,0.3695652173913043,0.0,0.6739130434782609,0.11607142857142858,0.9880976228632479,0.48552360385656357,0.5886940285563469
baseline,R1,44,fixed05,,test,141,7,30,0,84,4,23,17,6,0.8368794326241135,0.9375,0.9571220930232558,0.8823529411764706,0.0,0.8085106382978723,0.5882352941176471,0.0,0.9215686274509803,0.06666666666666667,0.9827765252442441,0.46528223901987076,0.57215616106987
baseline,R1,44,fixed05,,train,657,32,112,2,428,11,104,84,20,0.8417047184170472,0.9451476793248945,0.9650939777522056,0.9105691056910569,0.004651162790697674,0.821917808219178,0.5410628019323671,0.0044444444444444444,0.9468599033816425,0.044444444444444446,0.9946599779262514,0.4749605432152748,0.5825178697705269
baseline,majority,None,fixed05,,dev,158,7,0,0,112,46,0,0,0,1.0,0.0,0.4148148148148148,0.0,0.0,0.7088607594936709,0.0,0.0,0.0,0.0,,,
baseline,majority,None,fixed05,,test,141,7,0,0,90,51,0,0,0,1.0,0.0,0.38961038961038963,0.0,0.0,0.6382978723404256,0.0,0.0,0.0,0.0,,,
baseline,majority,None,fixed05,,train,657,32,0,0,450,207,0,0,0,1.0,0.0,0.4065040650406504,0.0,0.0,0.684931506849315,0.0,0.0,0.0,0.0,,,
