phase,model,seed,variant,budget,split,N,task_groups,TP,FP,TN,FN,abstain,abstain_unsafe,abstain_safe,coverage,F1_covered,macro_F1_covered,unsafe_recall_covered,FPR_covered,correct_decisions/N_total,TP/N_unsafe_total,FPR_all_safe,safety_block_if_abstain_pauses,normal_task_pause_cost,PR_AUC_AP,latency_p50_ms,latency_p95_ms,routed,routed_teacher_valid_outputs,routed_teacher_unavailable,corrected_errors,introduced_errors,correct_to_abstain,wrong_to_abstain,unrouted_binary_errors,unrouted_abstentions,cached_deployment_token_estimate,call_rate,valid_model_outputs,technical_fallbacks,protocol_effect_status
baseline,R1,42,dev_threshold,,dev,158,7,30,5,94,2,27,14,13,0.8291139240506329,0.8955223880597015,0.9298124760811328,0.9375,0.050505050505050504,0.7848101265822784,0.6521739130434783,0.044642857142857144,0.9565217391304348,0.11607142857142858,0.9880976228632479,0.4833717830479145,0.5809934809803963,,,,,,,,,,,,,,
baseline,R1,42,dev_threshold,,test,141,7,34,10,74,0,23,17,6,0.8368794326241135,0.8717948717948718,0.9042518662771828,1.0,0.11904761904761904,0.7659574468085106,0.6666666666666666,0.1111111111111111,1.0,0.06666666666666667,0.9827765252442441,0.46558305621147156,0.5615651607513428,,,,,,,,,,,,,,
baseline,R1,42,dev_threshold,,train,657,32,123,16,414,0,104,84,20,0.8417047184170472,0.9389312977099237,0.9599869758691799,1.0,0.037209302325581395,0.817351598173516,0.5942028985507246,0.035555555555555556,1.0,0.044444444444444446,0.9946599779262514,0.4690466448664665,0.5741180852055549,,,,,,,,,,,,,,
baseline,R1,42,fixed05,,dev,158,7,17,0,99,15,27,14,13,0.8291139240506329,0.6938775510204082,0.8117275079045703,0.53125,0.0,0.7341772151898734,0.3695652173913043,0.0,0.6739130434782609,0.11607142857142858,0.9880976228632479,0.4833717830479145,0.5809934809803963,,,,,,,,,,,,,,
baseline,R1,42,fixed05,,test,141,7,30,0,84,4,23,17,6,0.8368794326241135,0.9375,0.9571220930232558,0.8823529411764706,0.0,0.8085106382978723,0.5882352941176471,0.0,0.9215686274509803,0.06666666666666667,0.9827765252442441,0.46558305621147156,0.5615651607513428,,,,,,,,,,,,,,
baseline,R1,42,fixed05,,train,657,32,112,2,428,11,104,84,20,0.8417047184170472,0.9451476793248945,0.9650939777522056,0.9105691056910569,0.004651162790697674,0.821917808219178,0.5410628019323671,0.0044444444444444444,0.9468599033816425,0.044444444444444446,0.9946599779262514,0.4690466448664665,0.5741180852055549,,,,,,,,,,,,,,
baseline,R1,43,dev_threshold,,dev,158,7,30,5,94,2,27,14,13,0.8291139240506329,0.8955223880597015,0.9298124760811328,0.9375,0.050505050505050504,0.7848101265822784,0.6521739130434783,0.044642857142857144,0.9565217391304348,0.11607142857142858,0.9880976228632479,0.4848996177315712,0.5705163348466158,,,,,,,,,,,,,,
baseline,R1,43,dev_threshold,,test,141,7,34,10,74,0,23,17,6,0.8368794326241135,0.8717948717948718,0.9042518662771828,1.0,0.11904761904761904,0.7659574468085106,0.6666666666666666,0.1111111111111111,1.0,0.06666666666666667,0.9827765252442441,0.46460796147584915,0.5647512152791023,,,,,,,,,,,,,,
baseline,R1,43,dev_threshold,,train,657,32,123,16,414,0,104,84,20,0.8417047184170472,0.9389312977099237,0.9599869758691799,1.0,0.037209302325581395,0.817351598173516,0.5942028985507246,0.035555555555555556,1.0,0.044444444444444446,0.9946599779262514,0.47420430928468704,0.5930259823799133,,,,,,,,,,,,,,
baseline,R1,43,fixed05,,dev,158,7,17,0,99,15,27,14,13,0.8291139240506329,0.6938775510204082,0.8117275079045703,0.53125,0.0,0.7341772151898734,0.3695652173913043,0.0,0.6739130434782609,0.11607142857142858,0.9880976228632479,0.4848996177315712,0.5705163348466158,,,,,,,,,,,,,,
baseline,R1,43,fixed05,,test,141,7,30,0,84,4,23,17,6,0.8368794326241135,0.9375,0.9571220930232558,0.8823529411764706,0.0,0.8085106382978723,0.5882352941176471,0.0,0.9215686274509803,0.06666666666666667,0.9827765252442441,0.46460796147584915,0.5647512152791023,,,,,,,,,,,,,,
baseline,R1,43,fixed05,,train,657,32,112,2,428,11,104,84,20,0.8417047184170472,0.9451476793248945,0.9650939777522056,0.9105691056910569,0.004651162790697674,0.821917808219178,0.5410628019323671,0.0044444444444444444,0.9468599033816425,0.044444444444444446,0.9946599779262514,0.47420430928468704,0.5930259823799133,,,,,,,,,,,,,,
baseline,R1,44,dev_threshold,,dev,158,7,30,5,94,2,27,14,13,0.8291139240506329,0.8955223880597015,0.9298124760811328,0.9375,0.050505050505050504,0.7848101265822784,0.6521739130434783,0.044642857142857144,0.9565217391304348,0.11607142857142858,0.9880976228632479,0.48552360385656357,0.5886940285563469,,,,,,,,,,,,,,
baseline,R1,44,dev_threshold,,test,141,7,34,10,74,0,23,17,6,0.8368794326241135,0.8717948717948718,0.9042518662771828,1.0,0.11904761904761904,0.7659574468085106,0.6666666666666666,0.1111111111111111,1.0,0.06666666666666667,0.9827765252442441,0.46528223901987076,0.57215616106987,,,,,,,,,,,,,,
baseline,R1,44,dev_threshold,,train,657,32,123,16,414,0,104,84,20,0.8417047184170472,0.9389312977099237,0.9599869758691799,1.0,0.037209302325581395,0.817351598173516,0.5942028985507246,0.035555555555555556,1.0,0.044444444444444446,0.9946599779262514,0.4749605432152748,0.5825178697705269,,,,,,,,,,,,,,
baseline,R1,44,fixed05,,dev,158,7,17,0,99,15,27,14,13,0.8291139240506329,0.6938775510204082,0.8117275079045703,0.53125,0.0,0.7341772151898734,0.3695652173913043,0.0,0.6739130434782609,0.11607142857142858,0.9880976228632479,0.48552360385656357,0.5886940285563469,,,,,,,,,,,,,,
baseline,R1,44,fixed05,,test,141,7,30,0,84,4,23,17,6,0.8368794326241135,0.9375,0.9571220930232558,0.8823529411764706,0.0,0.8085106382978723,0.5882352941176471,0.0,0.9215686274509803,0.06666666666666667,0.9827765252442441,0.46528223901987076,0.57215616106987,,,,,,,,,,,,,,
baseline,R1,44,fixed05,,train,657,32,112,2,428,11,104,84,20,0.8417047184170472,0.9451476793248945,0.9650939777522056,0.9105691056910569,0.004651162790697674,0.821917808219178,0.5410628019323671,0.0044444444444444444,0.9468599033816425,0.044444444444444446,0.9946599779262514,0.4749605432152748,0.5825178697705269,,,,,,,,,,,,,,
baseline,majority,None,fixed05,,dev,158,7,0,0,112,46,0,0,0,1.0,0.0,0.4148148148148148,0.0,0.0,0.7088607594936709,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
baseline,majority,None,fixed05,,test,141,7,0,0,90,51,0,0,0,1.0,0.0,0.38961038961038963,0.0,0.0,0.6382978723404256,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
baseline,majority,None,fixed05,,train,657,32,0,0,450,207,0,0,0,1.0,0.0,0.4065040650406504,0.0,0.0,0.684931506849315,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
cached_cascade,E_to_L_direct,42,fixed05,0.1,test,96,7,21,0,57,0,18,14,4,0.8125,1.0,1.0,1.0,0.0,0.8125,0.6,0.0,1.0,0.06557377049180328,,6.90485630184412,2331.0810000002675,18,0,18,0,0,4,0,0,0,0,0.1875,0,18,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,42,fixed05,0.25,test,96,7,0,0,57,0,39,35,4,0.59375,0.0,0.5,,0.0,0.59375,0.0,0.0,1.0,0.06557377049180328,,6.993812508881092,2407.158495994736,39,0,39,0,0,25,0,0,0,0,0.40625,0,39,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,42,fixed05,0.5,test,96,7,0,0,46,0,50,35,15,0.4791666666666667,0.0,0.5,,0.0,0.4791666666666667,0.0,0.0,1.0,0.2459016393442623,,2119.0918800784857,2438.161434389258,50,0,50,0,0,36,0,0,0,0,0.5208333333333334,0,50,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,43,fixed05,0.1,test,96,7,23,0,53,0,20,12,8,0.7916666666666666,1.0,1.0,1.0,0.0,0.7916666666666666,0.6571428571428571,0.0,1.0,0.13114754098360656,,6.935379933565855,2336.691874999815,20,0,20,0,0,3,3,0,0,0,0.20833333333333334,0,20,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,43,fixed05,0.25,test,96,7,4,0,53,0,39,31,8,0.59375,1.0,1.0,1.0,0.0,0.59375,0.11428571428571428,0.0,1.0,0.13114754098360656,,6.96393009275198,2418.031929679273,39,0,39,0,0,22,3,0,0,0,0.40625,0,39,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,43,fixed05,0.5,test,96,7,0,0,39,0,57,35,22,0.40625,0.0,0.5,,0.0,0.40625,0.0,0.0,1.0,0.36065573770491804,,2168.9132999999856,2537.5921968334296,57,0,57,0,0,40,3,0,0,0,0.59375,0,57,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,44,fixed05,0.1,test,96,7,23,2,48,0,23,12,11,0.7604166666666666,0.9583333333333334,0.9689625850340136,1.0,0.04,0.7395833333333334,0.6571428571428571,0.03278688524590164,1.0,0.18032786885245902,,6.7881629802286625,2336.691874999815,23,0,23,0,0,9,0,2,0,0,0.23958333333333334,0,23,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,44,fixed05,0.25,test,96,7,18,0,45,0,33,17,16,0.65625,1.0,1.0,1.0,0.0,0.65625,0.5142857142857142,0.0,1.0,0.26229508196721313,,6.819889415055513,2417.987282773538,33,0,33,0,0,17,2,0,0,0,0.34375,0,33,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,44,fixed05,0.5,test,96,7,0,0,42,0,54,35,19,0.4375,0.0,0.5,,0.0,0.4375,0.0,0.0,1.0,0.3114754098360656,,2154.8852326777705,2480.542559284004,54,0,54,0,0,38,2,0,0,0,0.5625,0,54,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_relation,42,fixed05,0.1,test,96,7,21,0,57,0,18,14,4,0.8125,1.0,1.0,1.0,0.0,0.8125,0.6,0.0,1.0,0.06557377049180328,,6.90485630184412,2332.3564950460423,18,0,18,0,0,4,0,0,0,0,0.1875,0,18,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_relation,42,fixed05,0.25,test,96,7,0,0,57,0,39,35,4,0.59375,0.0,0.5,,0.0,0.59375,0.0,0.0,1.0,0.06557377049180328,,6.993812508881092,2518.271404205734,39,0,39,0,0,25,0,0,0,0,0.40625,0,39,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_relation,42,fixed05,0.5,test,96,7,0,0,48,0,48,35,13,0.5,0.0,0.5,,0.0,0.5,0.0,0.0,1.0,0.21311475409836064,,2082.421454251744,2607.385666553455,50,2,48,0,0,34,0,0,0,6684,0.5208333333333334,2,48,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_relation,43,fixed05,0.1,test,96,7,23,0,53,0,20,12,8,0.7916666666666666,1.0,1.0,1.0,0.0,0.7916666666666666,0.6571428571428571,0.0,1.0,0.13114754098360656,,6.935379933565855,2334.6640037361794,20,0,20,0,0,3,3,0,0,0,0.20833333333333334,0,20,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_relation,43,fixed05,0.25,test,96,7,4,0,53,0,39,31,8,0.59375,1.0,1.0,1.0,0.0,0.59375,0.11428571428571428,0.0,1.0,0.13114754098360656,,6.96393009275198,2518.2924662985897,39,0,39,0,0,22,3,0,0,0,0.40625,0,39,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_relation,43,fixed05,0.5,test,96,7,0,0,41,0,55,35,20,0.4270833333333333,0.0,0.5,,0.0,0.4270833333333333,0.0,0.0,1.0,0.32786885245901637,,2166.547588807589,2637.392096381518,57,2,55,0,0,38,3,0,0,6684,0.59375,2,55,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_relation,44,fixed05,0.1,test,96,7,23,2,48,0,23,12,11,0.7604166666666666,0.9583333333333334,0.9689625850340136,1.0,0.04,0.7395833333333334,0.6571428571428571,0.03278688524590164,1.0,0.18032786885245902,,6.7881629802286625,2351.5978900213668,23,0,23,0,0,9,0,2,0,0,0.23958333333333334,0,23,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_relation,44,fixed05,0.25,test,96,7,18,0,45,0,33,17,16,0.65625,1.0,1.0,1.0,0.0,0.65625,0.5142857142857142,0.0,1.0,0.26229508196721313,,6.819889415055513,2447.092320631782,33,0,33,0,0,17,2,0,0,0,0.34375,0,33,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_relation,44,fixed05,0.5,test,96,7,0,0,44,0,52,35,17,0.4583333333333333,0.0,0.5,,0.0,0.4583333333333333,0.0,0.0,1.0,0.2786885245901639,,2151.040600005217,2629.128126653086,54,2,52,0,0,36,2,0,0,6684,0.5625,2,52,INCOMPLETE_SERVICE_FAILURE
cached_cascade,R0_to_L_relation,None,fixed05,abstain_only,test,96,7,27,0,60,4,5,4,1,0.9479166666666666,0.9310344827586207,0.9493882091212458,0.8709677419354839,0.0,0.90625,0.7714285714285715,0.0,0.8857142857142857,0.01639344262295082,,0.007859431207180023,551.739216727583,5,0,5,0,0,0,0,4,0,0,0.052083333333333336,0,5,INCOMPLETE_SERVICE_FAILURE
live_router,E_to_L_direct,42,fixed05,0.25,test,4,2,0,0,2,0,2,0,2,0.5,0.0,0.5,,0.0,0.5,,0.0,,0.5,,99.03569999733008,228.11117500095855,2,0,2,0,0,0,0,0,0,0,0.5,0,2,INCOMPLETE_SERVICE_FAILURE
live_router,E_to_L_relation,42,fixed05,0.25,test,4,2,0,0,2,0,2,0,2,0.5,0.0,0.5,,0.0,0.5,,0.0,,0.5,,98.99744999711402,228.0972350028605,2,0,2,0,0,0,0,0,0,0,0.5,0,2,INCOMPLETE_SERVICE_FAILURE
paired_reference,E_field,42,fixed05,,test,96,7,25,0,57,0,14,10,4,0.8541666666666666,1.0,1.0,1.0,0.0,0.8541666666666666,0.7142857142857143,0.0,1.0,0.06557377049180328,1.0,6.8516843020915985,7.1422860492020845,,,,,,,,,,,,,,
paired_reference,E_field,43,fixed05,,test,96,7,25,3,54,0,14,10,4,0.8541666666666666,0.9433962264150944,0.9581845996940337,1.0,0.05263157894736842,0.8229166666666666,0.7142857142857143,0.04918032786885246,1.0,0.06557377049180328,1.0,6.874993909150362,8.103777887299657,,,,,,,,,,,,,,
paired_reference,E_field,44,fixed05,,test,96,7,25,2,55,0,14,10,4,0.8541666666666666,0.9615384615384616,0.9718406593406593,1.0,0.03508771929824561,0.8333333333333334,0.7142857142857143,0.03278688524590164,1.0,0.06557377049180328,0.993960113960114,6.732471752911806,6.86426111496985,,,,,,,,,,,,,,
paired_reference,R0,None,fixed05,,test,96,7,27,0,60,4,5,4,1,0.9479166666666666,0.9310344827586207,0.9493882091212458,0.8709677419354839,0.0,0.90625,0.7714285714285715,0.0,0.8857142857142857,0.01639344262295082,,0.007773749530315399,0.014537014067173004,,,,,,,,,,,,,,
paired,L_direct,,,,dev,32,7,8,2,21,0,1,1,0,0.96875,0.8888888888888888,0.9217171717171717,1.0,0.08695652173913043,0.90625,0.8888888888888888,0.08695652173913043,1.0,0.0,,3063.334849997773,3585.505234999073,,,,,,,,,,,,31,1,INCOMPLETE_SERVICE_FAILURE
paired,L_direct,,,,test,96,7,0,0,4,0,92,35,57,0.041666666666666664,0.0,0.5,,0.0,0.041666666666666664,0.0,0.0,1.0,0.9344262295081968,,2297.287650002545,2658.362100002705,,,,,,,,,,,,4,92,INCOMPLETE_SERVICE_FAILURE
paired,L_relation,,,,dev,32,7,8,2,21,0,1,1,0,0.96875,0.8888888888888888,0.9217171717171717,1.0,0.08695652173913043,0.90625,0.8888888888888888,0.08695652173913043,1.0,0.0,,4122.2576500003925,4787.666759999047,,,,,,,,,,,,31,1,INCOMPLETE_SERVICE_FAILURE
paired,L_relation,,,,test,96,7,0,0,5,0,91,35,56,0.052083333333333336,0.0,0.5,,0.0,0.052083333333333336,0.0,0.0,1.0,0.9180327868852459,,2307.4465499994403,3097.5341999983357,,,,,,,,,,,,5,91,INCOMPLETE_SERVICE_FAILURE
