phase,model,seed,variant,budget,split,N,task_groups,TP,FP,TN,FN,abstain,abstain_safe,abstain_unsafe,coverage,F1_covered,macro_F1_covered,correct_decisions/N_total,TP/N_unsafe_total,FPR_all_safe,safety_block_if_abstain_pauses,normal_task_pause_cost,technical_failure,model_abstain,input_overflow,rule_abstain,routed,corrected_errors,introduced_errors,unrouted_binary_errors,correct_to_abstain,wrong_to_abstain,cached_deployment_token_estimate,call_rate,baseline_abstain_to_correct,baseline_abstain_to_wrong
baseline,R0,None,fixed05,,dev,158,7,33,0,99,6,20,13,7,0.8734177215189873,0.9166666666666666,0.9436274509803921,0.8354430379746836,0.717391304347826,0.0,0.8695652173913043,0.11607142857142858,0,0,0,20,,,,,,,,,,
baseline,R0,None,fixed05,,test,141,7,40,0,89,4,8,1,7,0.9432624113475178,0.9523809523809523,0.9652014652014651,0.9148936170212766,0.7843137254901961,0.0,0.9215686274509803,0.011111111111111112,0,0,0,8,,,,,,,,,,
baseline,R0,None,fixed05,,train,657,32,157,5,442,14,39,3,36,0.9406392694063926,0.9429429429429429,0.9609509842067981,0.9117199391171994,0.7584541062801933,0.011111111111111112,0.9323671497584541,0.006666666666666667,0,0,0,39,,,,,,,,,,
baseline,R1,42,dev_threshold,,dev,158,7,30,5,94,2,27,13,14,0.8291139240506329,0.8955223880597015,0.9298124760811328,0.7848101265822784,0.6521739130434783,0.044642857142857144,0.9565217391304348,0.11607142857142858,0,0,27,0,,,,,,,,,,
baseline,R1,42,dev_threshold,,test,141,7,34,10,74,0,23,6,17,0.8368794326241135,0.8717948717948718,0.9042518662771828,0.7659574468085106,0.6666666666666666,0.1111111111111111,1.0,0.06666666666666667,0,0,23,0,,,,,,,,,,
baseline,R1,42,dev_threshold,,train,657,32,123,16,414,0,104,20,84,0.8417047184170472,0.9389312977099237,0.9599869758691799,0.817351598173516,0.5942028985507246,0.035555555555555556,1.0,0.044444444444444446,0,0,104,0,,,,,,,,,,
baseline,R1,42,fixed05,,dev,158,7,17,0,99,15,27,13,14,0.8291139240506329,0.6938775510204082,0.8117275079045703,0.7341772151898734,0.3695652173913043,0.0,0.6739130434782609,0.11607142857142858,0,0,27,0,,,,,,,,,,
baseline,R1,42,fixed05,,test,141,7,30,0,84,4,23,6,17,0.8368794326241135,0.9375,0.9571220930232558,0.8085106382978723,0.5882352941176471,0.0,0.9215686274509803,0.06666666666666667,0,0,23,0,,,,,,,,,,
baseline,R1,42,fixed05,,train,657,32,112,2,428,11,104,20,84,0.8417047184170472,0.9451476793248945,0.9650939777522056,0.821917808219178,0.5410628019323671,0.0044444444444444444,0.9468599033816425,0.044444444444444446,0,0,104,0,,,,,,,,,,
baseline,R1,43,dev_threshold,,dev,158,7,30,5,94,2,27,13,14,0.8291139240506329,0.8955223880597015,0.9298124760811328,0.7848101265822784,0.6521739130434783,0.044642857142857144,0.9565217391304348,0.11607142857142858,0,0,27,0,,,,,,,,,,
baseline,R1,43,dev_threshold,,test,141,7,34,10,74,0,23,6,17,0.8368794326241135,0.8717948717948718,0.9042518662771828,0.7659574468085106,0.6666666666666666,0.1111111111111111,1.0,0.06666666666666667,0,0,23,0,,,,,,,,,,
baseline,R1,43,dev_threshold,,train,657,32,123,16,414,0,104,20,84,0.8417047184170472,0.9389312977099237,0.9599869758691799,0.817351598173516,0.5942028985507246,0.035555555555555556,1.0,0.044444444444444446,0,0,104,0,,,,,,,,,,
baseline,R1,43,fixed05,,dev,158,7,17,0,99,15,27,13,14,0.8291139240506329,0.6938775510204082,0.8117275079045703,0.7341772151898734,0.3695652173913043,0.0,0.6739130434782609,0.11607142857142858,0,0,27,0,,,,,,,,,,
baseline,R1,43,fixed05,,test,141,7,30,0,84,4,23,6,17,0.8368794326241135,0.9375,0.9571220930232558,0.8085106382978723,0.5882352941176471,0.0,0.9215686274509803,0.06666666666666667,0,0,23,0,,,,,,,,,,
baseline,R1,43,fixed05,,train,657,32,112,2,428,11,104,20,84,0.8417047184170472,0.9451476793248945,0.9650939777522056,0.821917808219178,0.5410628019323671,0.0044444444444444444,0.9468599033816425,0.044444444444444446,0,0,104,0,,,,,,,,,,
baseline,R1,44,dev_threshold,,dev,158,7,30,5,94,2,27,13,14,0.8291139240506329,0.8955223880597015,0.9298124760811328,0.7848101265822784,0.6521739130434783,0.044642857142857144,0.9565217391304348,0.11607142857142858,0,0,27,0,,,,,,,,,,
baseline,R1,44,dev_threshold,,test,141,7,34,10,74,0,23,6,17,0.8368794326241135,0.8717948717948718,0.9042518662771828,0.7659574468085106,0.6666666666666666,0.1111111111111111,1.0,0.06666666666666667,0,0,23,0,,,,,,,,,,
baseline,R1,44,dev_threshold,,train,657,32,123,16,414,0,104,20,84,0.8417047184170472,0.9389312977099237,0.9599869758691799,0.817351598173516,0.5942028985507246,0.035555555555555556,1.0,0.044444444444444446,0,0,104,0,,,,,,,,,,
baseline,R1,44,fixed05,,dev,158,7,17,0,99,15,27,13,14,0.8291139240506329,0.6938775510204082,0.8117275079045703,0.7341772151898734,0.3695652173913043,0.0,0.6739130434782609,0.11607142857142858,0,0,27,0,,,,,,,,,,
baseline,R1,44,fixed05,,test,141,7,30,0,84,4,23,6,17,0.8368794326241135,0.9375,0.9571220930232558,0.8085106382978723,0.5882352941176471,0.0,0.9215686274509803,0.06666666666666667,0,0,23,0,,,,,,,,,,
baseline,R1,44,fixed05,,train,657,32,112,2,428,11,104,20,84,0.8417047184170472,0.9451476793248945,0.9650939777522056,0.821917808219178,0.5410628019323671,0.0044444444444444444,0.9468599033816425,0.044444444444444446,0,0,104,0,,,,,,,,,,
baseline,majority,None,fixed05,,dev,158,7,0,0,112,46,0,0,0,1.0,0.0,0.4148148148148148,0.7088607594936709,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,
baseline,majority,None,fixed05,,test,141,7,0,0,90,51,0,0,0,1.0,0.0,0.38961038961038963,0.6382978723404256,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,
baseline,majority,None,fixed05,,train,657,32,0,0,450,207,0,0,0,1.0,0.0,0.4065040650406504,0.684931506849315,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,
cached_cascade,E_to_L_direct,42,fixed05,0.1,test,96,7,35,1,60,0,0,0,0,1.0,0.9859154929577465,0.9888255150739146,0.9895833333333334,1.0,0.01639344262295082,1.0,0.0,0,0,0,0,18,0,0,0,0,0,41309,0.1875,13,1
cached_cascade,E_to_L_direct,42,fixed05,0.25,test,96,7,35,1,60,0,0,0,0,1.0,0.9859154929577465,0.9888255150739146,0.9895833333333334,1.0,0.01639344262295082,1.0,0.0,0,0,0,0,39,0,0,0,0,0,95816,0.40625,13,1
cached_cascade,E_to_L_direct,42,fixed05,0.5,test,96,7,35,2,59,0,0,0,0,1.0,0.9722222222222222,0.9777777777777777,0.9791666666666666,1.0,0.03278688524590164,1.0,0.0,0,0,0,0,50,0,1,0,0,0,121372,0.5208333333333334,13,1
cached_cascade,E_to_L_direct,43,fixed05,0.1,test,96,7,35,1,60,0,0,0,0,1.0,0.9859154929577465,0.9888255150739146,0.9895833333333334,1.0,0.01639344262295082,1.0,0.0,0,0,0,0,20,3,0,0,0,0,48374,0.20833333333333334,13,1
cached_cascade,E_to_L_direct,43,fixed05,0.25,test,96,7,35,1,60,0,0,0,0,1.0,0.9859154929577465,0.9888255150739146,0.9895833333333334,1.0,0.01639344262295082,1.0,0.0,0,0,0,0,39,3,0,0,0,0,95037,0.40625,13,1
cached_cascade,E_to_L_direct,43,fixed05,0.5,test,96,7,35,3,58,0,0,0,0,1.0,0.958904109589041,0.9668470127777138,0.96875,1.0,0.04918032786885246,1.0,0.0,0,0,0,0,57,3,2,0,0,0,129088,0.59375,13,1
cached_cascade,E_to_L_direct,44,fixed05,0.1,test,96,7,35,4,57,0,0,0,0,1.0,0.9459459459459459,0.9560238204306001,0.9583333333333334,1.0,0.06557377049180328,1.0,0.0,0,0,0,0,23,0,1,2,0,0,51186,0.23958333333333334,13,1
cached_cascade,E_to_L_direct,44,fixed05,0.25,test,96,7,35,3,58,0,0,0,0,1.0,0.958904109589041,0.9668470127777138,0.96875,1.0,0.04918032786885246,1.0,0.0,0,0,0,0,33,2,2,0,0,0,71081,0.34375,13,1
cached_cascade,E_to_L_direct,44,fixed05,0.5,test,96,7,35,3,58,0,0,0,0,1.0,0.958904109589041,0.9668470127777138,0.96875,1.0,0.04918032786885246,1.0,0.0,0,0,0,0,54,2,2,0,0,0,128895,0.5625,13,1
cached_cascade,E_to_L_relation,42,fixed05,0.1,test,96,7,35,1,59,0,1,1,0,0.9895833333333334,0.9859154929577465,0.9887560658066044,0.9791666666666666,1.0,0.01639344262295082,1.0,0.01639344262295082,1,0,0,0,18,0,0,0,0,0,51073,0.1875,12,1
cached_cascade,E_to_L_relation,42,fixed05,0.25,test,96,7,35,1,59,0,1,1,0,0.9895833333333334,0.9859154929577465,0.9887560658066044,0.9791666666666666,1.0,0.01639344262295082,1.0,0.01639344262295082,1,0,0,0,39,0,0,0,0,0,116500,0.40625,12,1
cached_cascade,E_to_L_relation,42,fixed05,0.5,test,96,7,35,2,58,0,1,1,0,0.9895833333333334,0.9722222222222222,0.9776365348399247,0.96875,1.0,0.03278688524590164,1.0,0.01639344262295082,1,0,0,0,50,0,1,0,0,0,147843,0.5208333333333334,12,1
cached_cascade,E_to_L_relation,43,fixed05,0.1,test,96,7,35,1,59,0,1,1,0,0.9895833333333334,0.9859154929577465,0.9887560658066044,0.9791666666666666,1.0,0.01639344262295082,1.0,0.01639344262295082,1,0,0,0,20,3,0,0,0,0,59071,0.20833333333333334,12,1
cached_cascade,E_to_L_relation,43,fixed05,0.25,test,96,7,35,1,59,0,1,1,0,0.9895833333333334,0.9859154929577465,0.9887560658066044,0.9791666666666666,1.0,0.01639344262295082,1.0,0.01639344262295082,1,0,0,0,39,3,0,0,0,0,115672,0.40625,12,1
cached_cascade,E_to_L_relation,43,fixed05,0.5,test,96,7,35,2,58,0,1,1,0,0.9895833333333334,0.9722222222222222,0.9776365348399247,0.96875,1.0,0.03278688524590164,1.0,0.01639344262295082,1,0,0,0,57,3,1,0,0,0,158848,0.59375,12,1
cached_cascade,E_to_L_relation,44,fixed05,0.1,test,96,7,35,4,56,0,1,1,0,0.9895833333333334,0.9459459459459459,0.9557315936626282,0.9479166666666666,1.0,0.06557377049180328,1.0,0.01639344262295082,1,0,0,0,23,0,1,2,0,0,63393,0.23958333333333334,12,1
cached_cascade,E_to_L_relation,44,fixed05,0.25,test,96,7,35,2,58,0,1,1,0,0.9895833333333334,0.9722222222222222,0.9776365348399247,0.96875,1.0,0.03278688524590164,1.0,0.01639344262295082,1,0,0,0,33,2,1,0,0,0,88553,0.34375,12,1
cached_cascade,E_to_L_relation,44,fixed05,0.5,test,96,7,35,2,58,0,1,1,0,0.9895833333333334,0.9722222222222222,0.9776365348399247,0.96875,1.0,0.03278688524590164,1.0,0.01639344262295082,1,0,0,0,54,2,1,0,0,0,157372,0.5625,12,1
cached_cascade,R0_to_L_relation,None,fixed05,abstain_only,test,96,7,31,0,60,4,1,1,0,0.9895833333333334,0.9393939393939394,0.9535679374389052,0.9479166666666666,0.8857142857142857,0.0,0.8857142857142857,0.01639344262295082,1,0,0,0,5,0,0,4,0,0,17016,0.052083333333333336,4,0
live_router,E_to_L_direct,42,fixed05,0.25,test,4,2,0,0,4,0,0,0,0,1.0,0.0,0.5,1.0,,0.0,,0.0,0,0,0,0,2,0,0,0,0,0,5389,0.5,2,0
live_router,E_to_L_relation,42,fixed05,0.25,test,4,2,0,1,3,0,0,0,0,1.0,0.0,0.42857142857142855,0.75,,0.25,,0.0,0,0,0,0,2,0,0,0,0,0,6397,0.5,1,1
paired_reference,E_field,42,fixed05,,test,96,7,25,0,57,0,14,4,10,0.8541666666666666,1.0,1.0,0.8541666666666666,0.7142857142857143,0.0,1.0,0.06557377049180328,0,0,14,0,,,,,,,,,,
paired_reference,E_field,43,fixed05,,test,96,7,25,3,54,0,14,4,10,0.8541666666666666,0.9433962264150944,0.9581845996940337,0.8229166666666666,0.7142857142857143,0.04918032786885246,1.0,0.06557377049180328,0,0,14,0,,,,,,,,,,
paired_reference,E_field,44,fixed05,,test,96,7,25,2,55,0,14,4,10,0.8541666666666666,0.9615384615384616,0.9718406593406593,0.8333333333333334,0.7142857142857143,0.03278688524590164,1.0,0.06557377049180328,0,0,14,0,,,,,,,,,,
paired_reference,R0,None,fixed05,,test,96,7,27,0,60,4,5,1,4,0.9479166666666666,0.9310344827586207,0.9493882091212458,0.90625,0.7714285714285715,0.0,0.8857142857142857,0.01639344262295082,0,0,0,5,,,,,,,,,,
paired,L_direct,,,,dev,32,7,9,2,21,0,0,0,0,1.0,0.9,0.9272727272727272,0.9375,1.0,0.08695652173913043,1.0,0.0,0,0,0,0,,,,,,,,,,
paired,L_direct,,,,test,96,7,35,3,58,0,0,0,0,1.0,0.958904109589041,0.9668470127777138,0.96875,1.0,0.04918032786885246,1.0,0.0,0,0,0,0,,,,,,,,,,
paired,L_relation,,,,dev,32,7,9,2,21,0,0,0,0,1.0,0.9,0.9272727272727272,0.9375,1.0,0.08695652173913043,1.0,0.0,0,0,0,0,,,,,,,,,,
paired,L_relation,,,,test,96,7,35,2,58,0,1,1,0,0.9895833333333334,0.9722222222222222,0.9776365348399247,0.96875,1.0,0.03278688524590164,1.0,0.01639344262295082,1,0,0,0,,,,,,,,,,
